Event.ID,Disease,Serotype,Region,Subregion,Country,Admin.level.1,Locality,Latitude,Longitude,Diagnosis.source,Diagnosis.status,Animal.type,Species,Observation.date..dd.mm.yyyy.,Report.date..dd.mm.yyyy.,Humans.affected,Human.deaths
334846,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Belgium,Region wallonne,Brugelette,50.58564,3.88727,OIE,Confirmed,Captive,Unspecified Bird,02/11/2022,07/11/2022,,
332571,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Netherlands,Overijssel,Vriezenveen,52.40311,6.59632,OIE,Confirmed,Captive,Phasianidae (Unidentified):Phasianidae (Incognita)(Phasianidae),16/09/2022,28/09/2022,,
332572,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Netherlands,Overijssel,Daarle,52.43205,6.53929,OIE,Confirmed,Captive,Phasianidae (Unidentified):Phasianidae (Incognita)(Phasianidae),16/09/2022,28/09/2022,,
332573,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Netherlands,Overijssel,Vriezenveen,52.41208,6.62291,OIE,Confirmed,Captive,Phasianidae (Unidentified):Phasianidae (Incognita)(Phasianidae),16/09/2022,28/09/2022,,
332574,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Netherlands,Noord-holland,Zuid Scharwoude,52.7001,4.82116,OIE,Confirmed,Captive,Phasianidae (Unidentified):Phasianidae (Incognita)(Phasianidae),14/09/2022,28/09/2022,,
332575,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Netherlands,Noord-holland,Wieringerwerf,52.89744,5.06838,OIE,Confirmed,Captive,Phasianidae (Unidentified):Phasianidae (Incognita)(Phasianidae),05/09/2022,28/09/2022,,
332577,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Netherlands,Utrecht,Bunschoten,52.21448,5.38899,OIE,Confirmed,Captive,Phasianidae (Unidentified):Phasianidae (Incognita)(Phasianidae),01/09/2022,28/09/2022,,
332576,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Netherlands,Zuid-holland,Ter Aar,52.17179,4.71467,OIE,Confirmed,Captive,Phasianidae (Unidentified):Phasianidae (Incognita)(Phasianidae),27/08/2022,28/09/2022,,
322651,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Netherlands,Noord-brabant,Oss,51.76,5.51,OIE,Confirmed,Captive,Phasianidae (Unidentified):Phasianidae (Incognita)(Phasianidae),13/05/2022,17/05/2022,,
322658,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Netherlands,Zuid-holland,Boskoop,52.08688,4.64938,OIE,Confirmed,Captive,Phasianidae (Unidentified):Phasianidae (Incognita)(Phasianidae),04/05/2022,21/05/2022,,
322650,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Netherlands,Utrecht,Utrecht,52.11961,5.09807,OIE,Confirmed,Captive,Phasianidae (Unidentified):Phasianidae (Incognita)(Phasianidae),02/05/2022,18/05/2022,,
315040,Influenza - Avian,H5N1 HPAI,Europe,Northern Europe,Jersey,Trinity,Jersey,49.23,-2.08,OIE,Confirmed,Captive,Unspecified Bird,22/02/2022,05/03/2022,,
309322,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Languedoc-Rousillon,SIGEAN,43.066319,2.958604,OIE,Confirmed,Captive,Unspecified Bird,14/12/2021,18/12/2021,,
305621,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Germany,Mecklenburg-Vorpommern,Greifswald,54.09,13.37,OIE,Confirmed,Captive,Unspecified Bird,20/10/2021,25/10/2021,,
305914,Influenza - Avian,H5N1 HPAI,Europe,Southern Europe,Serbia,Raski,Vrnjci,43.6387,20.9126,OIE,Confirmed,Captive,Mute Swan:cygnus Olor(Anatidae),18/10/2021,29/10/2021,,
305914,Influenza - Avian,H5N1 HPAI,Europe,Southern Europe,Serbia,Raski,Vrnjci,43.6387,20.9126,OIE,Confirmed,Captive,Swan,18/10/2021,29/10/2021,,
303298,Influenza - Avian,H5N8 HPAI,Europe,Western Europe,France,Champagne-Ardenne,VANDY,49.435485,4.707891,OIE,Confirmed,Captive,Anatidae (Unidentified):Anatidae (Incognita)(Anatidae),04/09/2021,11/09/2021,,
291547,Influenza - Avian,H5N8 HPAI,Europe,Western Europe,Netherlands,Noord-holland,Zaandam,52.44,4.81,OIE,Confirmed,Captive,Phasianidae (Unidentified):Phasianidae (Incognita)(Phasianidae),31/01/2021,19/03/2021,,
287364,Influenza - Avian,H5N8 HPAI,Europe,Western Europe,Germany,Rheinland-Pfalz,Bobenheim-Roxheim,49.58,8.36,OIE,Confirmed,Captive,Phasianidae (Unidentified):Phasianidae (Incognita)(Phasianidae),20/01/2021,26/01/2021,,
283690,Influenza - Avian,H5N8 HPAI,Europe,Northern Europe,U.K. of Great Britain and Northern Ireland,England,Melton Mowbray,52.78,-0.85,OIE,Confirmed,Captive,House Sparrow,18/11/2020,03/12/2020,,
283690,Influenza - Avian,H5N8 HPAI,Europe,Northern Europe,U.K. of Great Britain and Northern Ireland,England,Melton Mowbray,52.78,-0.85,OIE,Confirmed,Captive,Quail,18/11/2020,03/12/2020,,
283690,Influenza - Avian,H5N8 HPAI,Europe,Northern Europe,U.K. of Great Britain and Northern Ireland,England,Melton Mowbray,52.78,-0.85,OIE,Confirmed,Captive,Peacock,18/11/2020,03/12/2020,,
283690,Influenza - Avian,H5N8 HPAI,Europe,Northern Europe,U.K. of Great Britain and Northern Ireland,England,Melton Mowbray,52.78,-0.85,OIE,Confirmed,Captive,Red-And-Green Macaw (Ara Chloropterus),18/11/2020,03/12/2020,,
283690,Influenza - Avian,H5N8 HPAI,Europe,Northern Europe,U.K. of Great Britain and Northern Ireland,England,Melton Mowbray,52.78,-0.85,OIE,Confirmed,Captive,Cockatiel,18/11/2020,03/12/2020,,
283690,Influenza - Avian,H5N8 HPAI,Europe,Northern Europe,U.K. of Great Britain and Northern Ireland,England,Melton Mowbray,52.78,-0.85,OIE,Confirmed,Captive,Unspecified Bird,18/11/2020,03/12/2020,,
283690,Influenza - Avian,H5N8 HPAI,Europe,Northern Europe,U.K. of Great Britain and Northern Ireland,England,Melton Mowbray,52.78,-0.85,OIE,Confirmed,Captive,Umbrella Cockatoo,18/11/2020,03/12/2020,,
266703,Influenza - Avian,H5N8 HPAI,Europe,Western Europe,Germany,Sachsen,Bad Lausick,51.15,12.6,OIE,Confirmed,Captive,Unspecified Bird,12/03/2020,13/03/2020,,
244579,Influenza - Avian,H5 LPAI,Europe,Western Europe,Netherlands,Drenthe,Veeningen Village  De Wolden Municipality,52.908745,6.696514,National authorities,Confirmed,Captive,Swan,24/12/2018,24/12/2018,,
237664,Influenza - Avian,H5 LPAI,Europe,Northern Europe,Denmark,Storstroem,Faksinge,55.1181,11.9846,EC,Confirmed,Captive,Mallard,25/06/2018,28/06/2018,,
233496,Influenza - Avian,H5N6 HPAI,Europe,Western Europe,Netherlands,Zuid-holland,Rhoon,51.85,4.42,OIE,Confirmed,Captive,Unspecified Bird,20/01/2018,24/01/2018,,
232726,Influenza - Avian,H5N6 HPAI,Europe,Western Europe,Netherlands,Flevoland,Biddinghuizen,52.45,5.68,OIE,Confirmed,Captive,Mallard,15/12/2017,18/12/2017,,
232726,Influenza - Avian,H5N6 HPAI,Europe,Western Europe,Netherlands,Flevoland,Biddinghuizen,52.45,5.68,OIE,Confirmed,Captive,Greylag Goose,15/12/2017,18/12/2017,,
232726,Influenza - Avian,H5N6 HPAI,Europe,Western Europe,Netherlands,Flevoland,Biddinghuizen,52.45,5.68,OIE,Confirmed,Captive,Indian Peafowl (Pavo Cristatus),15/12/2017,18/12/2017,,
225141,Influenza - Avian,H5N8 HPAI,Europe,Western Europe,Germany,Mecklenburg-Vorpommern,Greifswald,54.09,13.37,OIE,Confirmed,Captive,Phasianidae (Phasianidae),27/02/2017,10/03/2017,,
223938,Influenza - Avian,H5N8 HPAI,Europe,Eastern Europe,Ukraine,Mykolayivs'ka,Mykolayiv city,46.959853,32.036753,OIE,Confirmed,Captive,Indian Peafowl (Pavo Cristatus),14/02/2017,17/02/2017,,
224069,Influenza - Avian,H5N8 HPAI,Europe,Western Europe,Germany,Thueringen,Gotha,50.93,10.71,OIE,Confirmed,Captive,Stork,07/02/2017,10/02/2017,,
224053,Influenza - Avian,H5N8 HPAI,Europe,Western Europe,Germany,Sachsen,Dresden,51.03,13.75,OIE,Confirmed,Captive,Unspecified Bird,03/02/2017,10/02/2017,,
223121,Influenza - Avian,H5N8 HPAI,Europe,Western Europe,Belgium,Vlaams Gewest,Lebbeke,50.99,4.09,National authorities,Confirmed,Captive,Guinea Fowl,26/01/2017,02/02/2017,,
223121,Influenza - Avian,H5N8 HPAI,Europe,Western Europe,Belgium,Vlaams Gewest,Lebbeke,50.99,4.09,National authorities,Confirmed,Captive,Greylag Goose,26/01/2017,02/02/2017,,
222912,Influenza - Avian,H5N8 HPAI,Europe,Western Europe,Germany,Brandenburg,Cottbus,51.74,14.35,OIE,Confirmed,Captive,Unspecified Bird,20/01/2017,25/01/2017,,
221169,Influenza - Avian,H5 HPAI,Europe,Eastern Europe,Russian Federation,Voronezhskaya Oblast,Voronezhskaya Oblast,51.64,39.2436,OIE,Confirmed,Captive,Stork,03/01/2017,08/01/2017,,
221169,Influenza - Avian,H5 HPAI,Europe,Eastern Europe,Russian Federation,Voronezhskaya Oblast,Voronezhskaya Oblast,51.64,39.2436,OIE,Confirmed,Captive,Swan,03/01/2017,08/01/2017,,
221169,Influenza - Avian,H5 HPAI,Europe,Eastern Europe,Russian Federation,Voronezhskaya Oblast,Voronezhskaya Oblast,51.64,39.2436,OIE,Confirmed,Captive,Parrot,03/01/2017,08/01/2017,,
221169,Influenza - Avian,H5 HPAI,Europe,Eastern Europe,Russian Federation,Voronezhskaya Oblast,Voronezhskaya Oblast,51.64,39.2436,OIE,Confirmed,Captive,Owl,03/01/2017,08/01/2017,,
221135,Influenza - Avian,H5N8 HPAI,Europe,Eastern Europe,Slovakia,Kosice,Kosice-okolie,48.698799,20.961644,National authorities,Confirmed,Captive,Anatidae (Unidentified),02/01/2017,03/01/2017,,
223211,Influenza - Avian,H5N8 HPAI,Europe,Eastern Europe,Bulgaria,Sofia,Doganovo,42.67309,23.61024,National authorities,Confirmed,Captive,Swan,20/12/2016,22/12/2016,,
219844,Influenza - Avian,H5N8 HPAI,Europe,Northern Europe,Finland,Aaland,Mariehamn,60.095921,19.950646,OIE,Confirmed,Captive,Unspecified Bird,26/11/2016,01/12/2016,,
219325,Influenza - Avian,H5N8 HPAI,Europe,Western Europe,Germany,Mecklenburg-Vorpommern,Sassnitz,54.52,13.65,National authorities,Confirmed,Captive,Swan,17/11/2016,21/11/2016,,
219325,Influenza - Avian,H5N8 HPAI,Europe,Western Europe,Germany,Mecklenburg-Vorpommern,Sassnitz,54.52,13.65,National authorities,Confirmed,Captive,Goose,17/11/2016,21/11/2016,,
215494,Influenza - Avian,H5N2 LPAI,Europe,Northern Europe,Denmark,Nordjylland,Sk?rb?k,56.9191,9.5508,OIE,Confirmed,Captive,Mallard,02/08/2016,08/08/2016,,
214886,Influenza - Avian,H7N7 LPAI,Europe,Northern Europe,Denmark,Fyn,Brenderup,55.483611,9.980833,OIE,Confirmed,Captive,Mallard,27/07/2016,27/07/2016,,
198680,Influenza - Avian,H5N8 HPAI,Europe,Western Europe,Germany,Mecklenburg-Vorpommern,Rostock  Stadt,54.0778,12.0865,National authorities,Confirmed,Captive,Stork,07/01/2015,09/01/2015,,
169913,Influenza - Avian,H5N2 LPAI,Europe,Northern Europe,Ireland,Cork,Clonakilty,51.648484,-8.87768,OIE,Confirmed,Captive,Pheasant,17/03/2012,30/03/2012,,
160365,Influenza - Avian,H5N3 LPAI,Europe,Eastern Europe,Romania,Tulcea,Cot Candura,45.1413,29.0316,OIE,Confirmed,Captive,Goose,03/11/2010,09/03/2011,,
172966,Influenza - Avian,H5N2 LPAI,Europe,Southern Europe,Italy,Veneto,Treviso,45.808073,12.207459,EC,Confirmed,Captive,Unspecified Bird,,05/10/2012,,
217936,Influenza - Avian,H7N3 LPAI,Europe,Western Europe,Germany,Baden-Wuerttemberg,Mannheimer Luisenparks,49.48,8.49,Other,Confirmed,Captive,Pheasant,,18/10/2016,,
217936,Influenza - Avian,H7N3 LPAI,Europe,Western Europe,Germany,Baden-Wuerttemberg,Mannheimer Luisenparks,49.48,8.49,Other,Confirmed,Captive,Unspecified Bird,,18/10/2016,,
278779,Influenza - Avian,H5N8 LPAI,Europe,Western Europe,Germany,Nordrhein-Westfalen,Allwetterzoo M?nster,51.9464,7.59167,National authorities,Confirmed,Captive,Guinea Fowl,,18/09/2020,,
333655,Influenza - Avian,H5N1 HPAI,Europe,Southern Europe,Spain,Galicia,A Coru?a,43.366667,-8.441695,National authorities,Confirmed,Captive,Mink,,20/10/2022,,
