"","genus","bvbrc_genus_count","emp_genus_count"
"1","Acridotheres",21,NA
"2","Acrocephalus",5,NA
"3","Actitis",2,NA
"4","Aechmophorus",1,1
"5","Aegithina",1,NA
"6","Aix",59,NA
"7","Alca",5,2
"8","Alcedo",4,NA
"9","Alethe",9,NA
"10","Alle",4,NA
"11","Alopochen",7,8
"12","Amandava",2,NA
"13","Amaurornis",9,NA
"14","Amazonetta",3,NA
"15","Amblyospiza",1,NA
"16","Anabathmis",1,NA
"17","Anas",21317,214
"18","Anastomus",6,NA
"19","Andropadus",1,NA
"20","Anser",1120,445
"21","Antigone",2,NA
"22","Apus",4,NA
"23","Aquila",1,NA
"24","Ardea",18,64
"25","Ardenna",3,NA
"26","Ardeola",123,NA
"27","Arenaria",1825,1
"28","Atimastillas",1,NA
"29","Aythya",194,99
"30","Bleda",3,NA
"31","Branta",284,338
"32","Bubulcus",39,2
"33","Bucephala",164,2
"34","Buteo",3,NA
"35","Cairina",10,1
"36","Calcarius",4,NA
"37","Calidris",280,8
"38","Calliope",2,NA
"39","Callonetta",2,NA
"40","Camaroptera",3,NA
"41","Catharus",1,NA
"42","Centropus",1,NA
"43","Cepphus",6,NA
"44","Chalcomitra",1,NA
"45","Charadrius",9,3
"46","Chlidonias",2,NA
"47","Chlorocichla",1,NA
"48","Chroicocephalus",1412,79
"49","Chrysococcyx",1,NA
"50","Cinnyris",12,NA
"51","Cisticola",3,NA
"52","Clangula",32,NA
"53","Coloeus",1,2
"54","Columba",15,9
"55","Corvus",4,19
"56","Corythornis",1,NA
"57","Cossypha",2,NA
"58","Coturnix",2,NA
"59","Criniger",1,NA
"60","Crypsirina",4,NA
"61","Cyanomitra",26,NA
"62","Cygnus",68,831
"63","Cypsiurus",2,NA
"64","Dendrocygna",242,NA
"65","Dendropicos",2,NA
"66","Dicrurus",1,NA
"67","Egretta",8,1
"68","Elminia",3,NA
"69","Empidonax",5,NA
"70","Estrilda",3,NA
"71","Euplectes",1,NA
"72","Eurillas",52,NA
"73","Euschistospiza",1,NA
"74","Excalfactoria",2,NA
"75","Falco",2,45
"76","Ficedula",1,NA
"77","Fraseria",3,NA
"78","Fratercula",5,2
"79","Fulica",38,15
"80","Gallicrex",16,NA
"81","Gallinago",4,NA
"82","Gallinula",14,5
"83","Gallirallus",8,NA
"84","Gallus",35,NA
"85","Gavia",3,1
"86","Geopelia",6,NA
"87","Gracupica",2,NA
"88","Haematopus",9,2
"89","Halcyon",3,NA
"90","Haliaeetus",1,96
"91","Hedydipna",3,NA
"92","Himantopus",3,NA
"93","Hirundo",3,NA
"94","Hydrophasianus",2,NA
"95","Hylia",1,NA
"96","Hypothymis",1,NA
"97","Ichthyaetus",5,9
"98","Illadopsis",1,NA
"99","Irena",1,NA
"100","Ispidina",6,NA
"101","Ixobrychus",7,NA
"102","Ixonotus",1,NA
"103","Lagonosticta",1,NA
"104","Lanius",1,NA
"105","Larus",1596,244
"106","Leiothlypis",9,NA
"107","Leucophaeus",134,NA
"108","Limnodromus",1,NA
"109","Limosa",6,NA
"110","Lonchura",10,NA
"111","Lophodytes",6,NA
"112","Macronyx",1,NA
"113","Macrosphenus",1,NA
"114","Malacorhynchus",4,NA
"115","Mareca",1534,59
"116","Melanerpes",1,NA
"117","Melanitta",47,NA
"118","Melopsittacus",1,NA
"119","Melospiza",11,NA
"120","Mergellus",1,NA
"121","Merops",1,NA
"122","Microcarbo",2,1
"123","Morus",1,204
"124","Muscicapa",4,NA
"125","Myiarchus",1,NA
"126","Netta",10,NA
"127","Nettapus",1,NA
"128","Nicator",1,NA
"129","Nigrita",2,NA
"130","Numenius",9,NA
"131","Nycticorax",4,NA
"132","Ortalis",1,NA
"133","Oxyura",9,NA
"134","Passer",33,7
"135","Pelecanus",2,24
"136","Phalacrocorax",35,45
"137","Phalaropus",3,NA
"138","Phyllastrephus",2,NA
"139","Phylloscopus",2,NA
"140","Platysteira",2,NA
"141","Plectrophenax",1,NA
"142","Plegadis",2,NA
"143","Ploceus",30,NA
"144","Pluvialis",4,NA
"145","Podiceps",9,24
"146","Poecile",3,NA
"147","Pogoniulus",2,NA
"148","Poliolimnas",1,NA
"149","Porzana",59,NA
"150","Prinia",7,NA
"151","Pycnonotus",36,NA
"152","Pyrenestes",1,NA
"153","Quelea",2,NA
"154","Recurvirostra",24,NA
"155","Rhipidura",10,NA
"156","Rissa",13,5
"157","Rostratula",16,NA
"158","Rynchops",11,NA
"159","Saxicola",3,NA
"160","Schistolais",2,NA
"161","Setophaga",9,NA
"162","Sheppardia",1,NA
"163","Smithornis",1,NA
"164","Somateria",74,13
"165","Spatula",2517,2
"166","Spermestes",13,NA
"167","Spermophaga",11,NA
"168","Spilopelia",3,1
"169","Stelgidillas",1,NA
"170","Sterna",5,16
"171","Stiphrornis",2,NA
"172","Streptopelia",13,2
"173","Sylvia",1,NA
"174","Tachybaptus",3,6
"175","Tadorna",67,9
"176","Terpsiphone",1,NA
"177","Thalasseus",2,24
"178","Threskiornis",1,NA
"179","Timalia",1,NA
"180","Tribonyx",1,NA
"181","Tringa",41,2
"182","Turdus",3,1
"183","Turnix",12,NA
"184","Uria",24,15
"185","Vidua",1,NA
"186","Xema",1,NA
"187","Xenus",2,NA
"188","Zosterops",1,NA
"189",NA,5075,3606
"190","Accipiter",NA,29
"191","Athene",NA,1
"192","Balearica",NA,1
"193","Bubo",NA,8
"194","Ciconia",NA,3
"195","Dromaius",NA,3
"196","Fulmarus",NA,2
"197","Geronticus",NA,1
"198","Gyps",NA,5
"199","Halichoerus",NA,1
"200","Hydroprogne",NA,2
"201","Marmaronetta",NA,1
"202","Mustela",NA,2
"203","Nymphalis",NA,1
"204","Nymphicus",NA,2
"205","Pagophila",NA,1
"206","Parabuteo",NA,1
"207","Phasianus",NA,19
"208","Phoca",NA,1
"209","Phoenicopterus",NA,3
"210","Platalea",NA,4
"211","Rhea",NA,3
"212","Stercorarius",NA,18
"213","Strix",NA,2
"214","Sturnus",NA,2
"215","Tyto",NA,3
"216","Vanellus",NA,1
"217","Vulpes",NA,2
